#AverageTraffic NetworkDelay MaximumLinkUtilization
0.00001 0.28834 0.00001
0.02501 0.28943 0.02530
0.05001 0.29056 0.05058
0.07501 0.29173 0.07587
0.10001 0.29296 0.10115
0.12501 0.29425 0.12644
0.15001 0.29560 0.15172
0.17501 0.29701 0.17701
0.20001 0.29849 0.20230
0.22501 0.30005 0.22758
0.25001 0.30170 0.25287
0.27501 0.30343 0.27815
0.30001 0.30527 0.30344
0.32501 0.30721 0.32872
0.35001 0.30928 0.35401
0.37501 0.31148 0.37930
0.40001 0.31383 0.40458
0.42501 0.31634 0.42987
0.45001 0.31905 0.45515
0.47501 0.32196 0.48044
0.50001 0.32511 0.50572
0.52501 0.32853 0.53101
0.55001 0.33227 0.55630
0.57501 0.33637 0.58158
0.60001 0.34090 0.60687
0.62501 0.34593 0.63215
0.65001 0.35156 0.65744
0.67501 0.35791 0.68272
0.70001 0.36515 0.70801
0.72501 0.37350 0.73330
0.75001 0.38326 0.75858
0.77501 0.39485 0.78387
0.80001 0.40890 0.80915
0.82501 0.42634 0.83444
0.85001 0.44872 0.85972
0.87501 0.47869 0.88501
0.90001 0.52134 0.91030
0.92501 0.58810 0.93558
0.95001 0.71289 0.96087
0.97501 1.10288 0.98615
1.00001 943990560000002.10000 1.01144
1.02501 2791972080000001.00000 1.03672
1.05001 5941654868571429.00000 1.06201
1.07501 6821646068571428.00000 1.08730
1.10001 6821646068571427.00000 1.11258
1.12501 6821646068571429.00000 1.13787
1.15001 6821646068571429.00000 1.16315
1.17501 6821646068571430.00000 1.18844
1.20001 6821646068571427.00000 1.21372
1.22501 6821646068571428.00000 1.23901
1.25001 6821646068571426.00000 1.26430
1.27501 6821646068571427.00000 1.28958
1.30001 6821646068571429.00000 1.31487
1.32501 6821646068571427.00000 1.34015
1.35001 6821646068571428.00000 1.36544
1.37501 6821646068571428.00000 1.39072
1.40001 6821646068571427.00000 1.41601
1.42501 6821646068571427.00000 1.44130
1.45001 6821646068571429.00000 1.46658
1.47501 6821646068571429.00000 1.49187
